TagNO,Description,Trip Level,High/Low,Date,Time
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,0,03-02-2023,08:56:53
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,03-02-2023,08:56:53
LDPT2001,Lower Deck Pressure Transmitetr Valve2,HH,0,03-02-2023,08:56:53
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,1,03-02-2023,08:56:53
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,0,03-02-2023,08:56:53
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,0,03-02-2023,08:56:53
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,0,03-02-2023,08:56:53
LDPT3000,Lower Deck Pressure Transmitter Pump1,HH,0,03-02-2023,08:56:54
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,0,03-02-2023,08:56:54
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,0,03-02-2023,08:57:53
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,1,03-02-2023,08:57:53
LDPT2001,Lower Deck Pressure Transmitetr Valve2,HH,1,03-02-2023,08:57:53
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,0,03-02-2023,08:57:53
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,1,03-02-2023,08:57:54
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,0,03-02-2023,08:57:54
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,1,03-02-2023,08:57:54
LDPT3000,Lower Deck Pressure Transmitter Pump1,HH,0,03-02-2023,08:57:54
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,1,03-02-2023,08:57:54
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,0,03-02-2023,09:37:47
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,1,03-02-2023,09:37:48
LDPT2001,Lower Deck Pressure Transmitetr Valve2,HH,1,03-02-2023,09:37:48
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,0,03-02-2023,09:37:48
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,1,03-02-2023,09:37:48
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,1,03-02-2023,09:37:48
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,0,03-02-2023,09:37:48
LDPT3000,Lower Deck Pressure Transmitter Pump1,HH,1,03-02-2023,09:37:48
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,1,03-02-2023,09:37:49
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,1,03-02-2023,09:38:24
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,1,03-02-2023,09:38:24
LDPT2001,Lower Deck Pressure Transmitetr Valve2,HH,0,03-02-2023,09:38:24
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,0,03-02-2023,09:38:24
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,1,03-02-2023,09:38:24
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,1,03-02-2023,09:38:24
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,0,03-02-2023,09:38:25
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,0,03-02-2023,09:38:25
LDPT3000,Lower Deck Pressure Transmitter Pump1,HH,1,03-02-2023,09:38:25
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,1,03-02-2023,09:39:10
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,1,03-02-2023,09:39:10
LDPT2001,Lower Deck Pressure Transmitetr Valve2,HH,0,03-02-2023,09:39:10
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,1,03-02-2023,09:39:10
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,1,03-02-2023,09:39:10
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,0,03-02-2023,09:39:10
