TagNO,Description,Trip Level,High/Low,Date,Time
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,0,29-01-2023,11:14:57
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,1,29-01-2023,11:14:59
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,1,29-01-2023,11:15:01
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,1,29-01-2023,11:15:03
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,0,29-01-2023,11:22:33
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,29-01-2023,11:22:35
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,0,29-01-2023,11:22:37
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,0,29-01-2023,11:22:39
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,0,29-01-2023,11:22:41
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,1,29-01-2023,11:22:43
LDPT2003,Lower Deck Pressure Transmitter Valve4,HH,0,29-01-2023,11:22:45
LDTT2003,Lower Deck Temperature Sensor Valve4,HH,0,29-01-2023,11:22:47
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,0,29-01-2023,11:22:49
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,1,29-01-2023,11:22:51
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,1,29-01-2023,11:22:53
LDPT1001,Lower Deck Pressure Transmitter Vessel2,HH,0,29-01-2023,11:22:55
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,1,29-01-2023,11:24:57
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,1,29-01-2023,11:24:59
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,1,29-01-2023,11:25:01
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,0,29-01-2023,11:25:03
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,1,29-01-2023,11:25:05
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,1,29-01-2023,11:25:44
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,0,29-01-2023,11:25:58
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,29-01-2023,11:26:00
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,1,29-01-2023,11:26:02
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,0,29-01-2023,11:26:04
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,1,29-01-2023,11:26:06
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,0,29-01-2023,11:26:08
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,0,29-01-2023,11:29:26
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,1,29-01-2023,11:29:28
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,0,29-01-2023,11:29:30
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,0,29-01-2023,11:29:32
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,0,29-01-2023,11:29:34
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,1,29-01-2023,11:29:36
LDPT2003,Lower Deck Pressure Transmitter Valve4,HH,0,29-01-2023,11:29:38
LDTT2003,Lower Deck Temperature Sensor Valve4,HH,1,29-01-2023,11:29:40
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,0,29-01-2023,11:29:42
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,0,29-01-2023,11:29:44
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,0,29-01-2023,11:29:46
LDPT1001,Lower Deck Pressure Transmitter Vessel2,HH,1,29-01-2023,11:29:48
LDLT1001,Lower Deck Level Transmitter Vessel2,HH,1,29-01-2023,11:29:50
LDTT1001,Lower Deck Temperature sensor Vessel2,HH,0,29-01-2023,11:29:52
LDPT3000,Lowe Deck Pressure Transmitter Pump1,HH,0,29-01-2023,11:29:54
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,0,29-01-2023,11:29:56
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,1,29-01-2023,11:33:59
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,29-01-2023,11:34:01
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,0,29-01-2023,11:34:03
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,1,29-01-2023,11:34:05
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,1,29-01-2023,11:34:07
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,0,29-01-2023,11:34:09
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,0,29-01-2023,11:34:56
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,29-01-2023,11:34:58
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,0,29-01-2023,11:35:00
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,0,29-01-2023,11:35:02
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,0,29-01-2023,11:35:04
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,1,29-01-2023,11:35:06
LDPT2003,Lower Deck Pressure Transmitter Valve4,HH,0,29-01-2023,11:35:08
LDTT2003,Lower Deck Temperature Sensor Valve4,HH,0,29-01-2023,11:35:10
