TagNO,Description,Trip Level,High/Low,Date,Time
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,0,25-01-2023,14:39:45
LDTT2000,Lower Deck Temperature Sensor Valve1,LL,1,25-01-2023,14:39:47
LDLT1000,Lower Deck Level Transmitter Vessel1,H,0,25-01-2023,14:39:52
LDTT1001,Lower Deck Temperature sensor Vessel2,H,0,25-01-2023,14:39:57
LDTT2003,Lower Deck Temperature Sensor Valve4,L,1,25-01-2023,14:40:01
LDTT1001,Lower Deck Temperature sensor Vessel2,LL,0,25-01-2023,14:40:03
LDPT3000,Lowe Deck Pressure Transmitter Pump1,HH,1,25-01-2023,14:40:08
LDPT2002,Lower Deck Pressure Transmitter Valve3,H,1,25-01-2023,14:40:12
LDTT1000,Lower Deck Temperature Sensor Vessel1,H,1,25-01-2023,14:40:14
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,1,25-01-2023,14:40:18
LDPT1001,Lower Deck Pressure Transmitter Vessel2,LL,1,25-01-2023,14:40:23
LDPT2003,Lower Deck Pressure Transmitter Valve4,H,0,25-01-2023,14:40:26
LDPT2003,Lower Deck Pressure Transmitter Valve4,H,0,25-01-2023,14:40:29
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,H,0,25-01-2023,14:40:34
LDTT2002,Lower Deck Temperature Sensor Valve3,L,1,25-01-2023,14:40:38
LDTT2000,Lower Deck Temperature Sensor Valve1,L,1,25-01-2023,14:40:43
LDPT1000,Lower Deck Pressure Transmitter Vessel1,H,0,25-01-2023,14:40:44
LDPT3000,Lowe Deck Pressure Transmitter Pump1,LL,0,25-01-2023,14:40:45
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,1,25-01-2023,14:40:49
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,L,1,25-01-2023,14:40:51
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,H,1,25-01-2023,14:40:57
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,25-01-2023,14:40:58
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,L,1,25-01-2023,14:41:00
LDTT2001,Lower Deck Temperature Sensor Valve2,LL,1,25-01-2023,14:41:05
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,0,25-01-2023,14:41:08
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,0,25-01-2023,14:41:12
LDPT3000,Lowe Deck Pressure Transmitter Pump1,H,0,25-01-2023,14:41:17
LDPT1001,Lower Deck Pressure Transmitter Vessel2,HH,0,25-01-2023,14:41:18
LDTT1001,Lower Deck Temperature sensor Vessel2,H,0,25-01-2023,14:41:21
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,LL,0,25-01-2023,14:41:24
LDTT3000,Lower Deck Temperature Sensor Pump1,LL,0,25-01-2023,14:41:28
LDTT2003,Lower Deck Temperature Sensor Valve4,H,0,25-01-2023,15:48:41
LDTT2003,Lower Deck Temperature Sensor Valve4,HH,1,25-01-2023,15:48:43
LDPT3000,Lowe Deck Pressure Transmitter Pump1,LL,0,25-01-2023,15:48:47
LDPT1000,Lower Deck Pressure Transmitter Vessel1,H,1,25-01-2023,15:48:49
LDTT2002,Lower Deck Temperature Sensor Valve3,H,0,25-01-2023,15:48:52
LDPT2002,Lower Deck Pressure Transmitter Valve3,H,1,25-01-2023,15:48:56
LDTT2003,Lower Deck Temperature Sensor Valve4,H,0,25-01-2023,15:49:01
LDPT1001,Lower Deck Pressure Transmitter Vessel2,LL,1,25-01-2023,15:49:06
LDPT1000,Lower Deck Pressure Transmitter Vessel1,H,1,25-01-2023,15:49:07
LDTT2002,Lower Deck Temperature Sensor Valve3,H,1,25-01-2023,15:49:12
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,H,0,25-01-2023,15:49:15
LDTT2000,Lower Deck Temperature Sensor Valve1,LL,0,25-01-2023,15:49:19
LDPT2003,Lower Deck Pressure Transmitter Valve4,HH,0,25-01-2023,15:49:24
LDTT1001,Lower Deck Temperature sensor Vessel2,LL,0,25-01-2023,15:49:27
LDPT2003,Lower Deck Pressure Transmitter Valve4,LL,1,25-01-2023,15:49:30
LDPT2003,Lower Deck Pressure Transmitter Valve4,H,0,25-01-2023,15:49:33
LDLT1001,Lower Deck Level Transmitter Vessel2,LL,1,25-01-2023,15:49:38
LDTT2000,Lower Deck Temperature Sensor Valve1,H,1,25-01-2023,15:49:41
LDTT2000,Lower Deck Temperature Sensor Valve1,L,1,25-01-2023,15:49:42
LDTT2003,Lower Deck Temperature Sensor Valve4,LL,1,25-01-2023,15:49:47
LDPT1001,Lower Deck Pressure Transmitter Vessel2,LL,0,25-01-2023,15:49:48
LDPT3000,Lowe Deck Pressure Transmitter Pump1,HH,1,25-01-2023,15:49:51
LDLT1001,Lower Deck Level Transmitter Vessel2,LL,1,25-01-2023,15:49:55
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,LL,0,25-01-2023,15:50:00
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,1,25-01-2023,15:50:01
LDTT3000,Lower Deck Temperature Sensor Pump1,LL,0,25-01-2023,15:50:06
LDTT2000,Lower Deck Temperature Sensor Valve1,LL,0,25-01-2023,15:50:07
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,0,25-01-2023,15:50:11
LDPT2003,Lower Deck Pressure Transmitter Valve4,L,1,25-01-2023,15:50:15
LDPT3000,Lowe Deck Pressure Transmitter Pump1,H,0,25-01-2023,15:50:20
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,0,25-01-2023,15:50:22
LDLT1001,Lower Deck Level Transmitter Vessel2,HH,0,25-01-2023,15:50:25
LDTT1001,Lower Deck Temperature sensor Vessel2,H,1,25-01-2023,15:50:26
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,1,25-01-2023,15:50:29
LDPT2002,Lower Deck Pressure Transmitter Valve3,L,0,25-01-2023,15:50:33
LDPT2002,Lower Deck Pressure Transmitter Valve3,LL,0,25-01-2023,15:50:36
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,L,1,25-01-2023,15:50:40
LDTT1001,Lower Deck Temperature sensor Vessel2,HH,0,25-01-2023,15:50:45
LDTT3000,Lower Deck Temperature Sensor Pump1,L,1,25-01-2023,15:50:48
LDLT1001,Lower Deck Level Transmitter Vessel2,LL,1,25-01-2023,15:50:51
LDPT3000,Lowe Deck Pressure Transmitter Pump1,LL,0,25-01-2023,15:50:52
LDPT2003,Lower Deck Pressure Transmitter Valve4,L,1,25-01-2023,15:50:53
LDPT2002,Lower Deck Pressure Transmitter Valve3,H,1,25-01-2023,15:50:57
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,0,25-01-2023,15:51:02
LDTT1001,Lower Deck Temperature sensor Vessel2,LL,0,25-01-2023,15:51:04
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,1,25-01-2023,15:51:05
LDLT1000,Lower Deck Level Transmitter Vessel1,H,0,25-01-2023,15:51:06
LDLT1001,Lower Deck Level Transmitter Vessel2,H,1,25-01-2023,15:51:11
LDPT3000,Lowe Deck Pressure Transmitter Pump1,HH,1,25-01-2023,15:51:16
LDPT2002,Lower Deck Pressure Transmitter Valve3,L,0,25-01-2023,15:51:20
LDTT2003,Lower Deck Temperature Sensor Valve4,H,0,25-01-2023,15:51:21
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,1,25-01-2023,15:51:22
LDTT3000,Lower Deck Temperature Sensor Pump1,H,0,25-01-2023,15:51:23
LDTT2000,Lower Deck Temperature Sensor Valve1,L,0,25-01-2023,15:51:25
LDTT2002,Lower Deck Temperature Sensor Valve3,L,1,25-01-2023,15:51:30
LDPT2002,Lower Deck Pressure Transmitter Valve3,LL,0,25-01-2023,15:51:35
LDTT2001,Lower Deck Temperature Sensor Valve2,H,1,25-01-2023,15:51:39
