TagNO,Description,Trip Level,High/Low,Date,Time
EDSD1001,East Deck Smoke Detector 2,HH,1,10-03-2023,08:55:18
EDSD1000,East Deck Smoke Detector 1,HH,0,10-03-2023,08:55:17
LDPT2000,Lower Deck Pressure Transmitter Valve1,H,1,10-03-2023,08:55:17
EDSD1002,East Deck Smoke Detector 3,HH,1,10-03-2023,08:55:18
EDSD1003,East Deck Smoke Detector 4,HH,0,10-03-2023,08:55:18
EDSD1004,East Deck Smoke Detector 5,HH,0,10-03-2023,08:55:18
EDSD1005,East Deck Smoke Detector 6,HH,0,10-03-2023,08:55:18
EDSD1007,East Deck Smoke Detector 8,HH,0,10-03-2023,08:55:18
EDSD1006,East Deck Smoke Detector 7,HH,1,10-03-2023,08:55:18
LDTT2000,Lower Deck Temperature Sensor Valve1,H,0,10-03-2023,08:55:18
EDSD1008,East Deck Smoke Detector 9,HH,0,10-03-2023,08:55:18
EDSD1009,East Deck Smoke Detector 10,HH,1,10-03-2023,08:55:19
EDFD2002,East Deck Heat Detector 3,HH,1,10-03-2023,08:55:19
EDFD2001,East Deck Heat Detector 2,HH,1,10-03-2023,08:55:19
EDFD2000,East Deck Heat Detector 1,HH,0,10-03-2023,08:55:19
EDHV3000,East Deck HVAC System 1,HH,1,10-03-2023,08:55:19
EDHV3001,East Deck HVAC System 2,HH,1,10-03-2023,08:55:20
LDPT2001,Lower Deck Pressure Transmitetr Valve2,LL,1,10-03-2023,08:55:21
LDTT2001,Lower Deck Temperature Sensor Valve2,L,1,10-03-2023,08:55:24
LDPT2002,Lower Deck Pressure Transmitter Valve3,H,1,10-03-2023,08:55:28
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,1,10-03-2023,08:55:29
LDPT2003,Lower Deck Pressure Transmitter Valve4,H,0,10-03-2023,08:55:34
LDTT2003,Lower Deck Temperature Sensor Valve4,LL,0,10-03-2023,08:55:36
LDPT1000,Lower Deck Pressure Transmitter Vessel1,LL,1,10-03-2023,08:55:37
LDLT1000,Lower Deck Level Transmitter Vessel1,LL,0,10-03-2023,08:55:42
LDTT1000,Lower Deck Temperature Sensor Vessel1,H,0,10-03-2023,08:55:46
LDPT1001,Lower Deck Pressure Transmitter Vessel2,HH,1,10-03-2023,08:55:48
LDLT1001,Lower Deck Level Transmitter Vessel2,LL,0,10-03-2023,08:55:52
LDTT1001,Lower Deck Temperature sensor Vessel2,HH,0,10-03-2023,08:55:55
LDPT3000,Lower Deck Pressure Transmitter Pump1,HH,1,10-03-2023,08:55:58
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,0,10-03-2023,08:56:02
LDPT2000,Lower Deck Pressure Transmitter Valve1,LL,1,10-03-2023,13:42:26
EDSD1001,East Deck Smoke Detector 2,HH,1,10-03-2023,13:42:27
EDSD1000,East Deck Smoke Detector 1,HH,0,10-03-2023,13:42:27
EDSD1002,East Deck Smoke Detector 3,HH,1,10-03-2023,13:42:27
EDSD1004,East Deck Smoke Detector 5,HH,0,10-03-2023,13:42:27
EDSD1005,East Deck Smoke Detector 6,HH,0,10-03-2023,13:42:28
EDSD1003,East Deck Smoke Detector 4,HH,1,10-03-2023,13:42:27
EDSD1006,East Deck Smoke Detector 7,HH,0,10-03-2023,13:42:28
EDSD1007,East Deck Smoke Detector 8,HH,1,10-03-2023,13:42:28
EDSD1008,East Deck Smoke Detector 9,HH,1,10-03-2023,13:42:29
EDSD1009,East Deck Smoke Detector 10,HH,0,10-03-2023,13:42:29
EDFD2000,East Deck Heat Detector 1,HH,0,10-03-2023,13:42:29
EDFD2001,East Deck Heat Detector 2,HH,0,10-03-2023,13:42:29
EDFD2002,East Deck Heat Detector 3,HH,1,10-03-2023,13:42:29
EDHV3000,East Deck HVAC System 1,HH,1,10-03-2023,13:42:30
EDHV3001,East Deck HVAC System 2,HH,1,10-03-2023,13:42:31
LDTT2000,Lower Deck Temperature Sensor Valve1,H,0,10-03-2023,13:42:31
LDPT2001,Lower Deck Pressure Transmitetr Valve2,HH,0,10-03-2023,13:42:33
LDTT2001,Lower Deck Temperature Sensor Valve2,LL,1,10-03-2023,13:42:37
LDPT2002,Lower Deck Pressure Transmitter Valve3,LL,0,10-03-2023,13:42:39
LDTT2002,Lower Deck Temperature Sensor Valve3,H,1,10-03-2023,13:42:41
LDPT2003,Lower Deck Pressure Transmitter Valve4,L,1,10-03-2023,13:42:42
LDTT2003,Lower Deck Temperature Sensor Valve4,HH,0,10-03-2023,13:42:44
LDPT1000,Lower Deck Pressure Transmitter Vessel1,L,0,10-03-2023,13:42:46
LDLT1000,Lower Deck Level Transmitter Vessel1,H,0,10-03-2023,13:42:51
LDTT1000,Lower Deck Temperature Sensor Vessel1,LL,0,10-03-2023,13:42:52
LDPT1001,Lower Deck Pressure Transmitter Vessel2,L,0,10-03-2023,13:42:55
LDLT1001,Lower Deck Level Transmitter Vessel2,H,0,10-03-2023,13:42:56
LDTT1001,Lower Deck Temperature sensor Vessel2,H,1,10-03-2023,13:42:58
LDPT3000,Lower Deck Pressure Transmitter Pump1,LL,0,10-03-2023,13:43:02
LDTT3000,Lower Deck Temperature Sensor Pump1,LL,1,10-03-2023,13:43:06
