TagNO,Description,Trip Level,High/Low,Date,Time
LDPT2000,Lower Deck Pressure Transmitter Valve1,L,0,28-03-2023,11:44:29
EDSD1000,East Deck Smoke Detector 1,HH,0,28-03-2023,11:44:29
EDSD1001,East Deck Smoke Detector 2,HH,1,28-03-2023,11:44:29
EDSD1002,East Deck Smoke Detector 3,HH,1,28-03-2023,11:44:29
EDSD1003,East Deck Smoke Detector 4,HH,1,28-03-2023,11:44:29
EDSD1005,East Deck Smoke Detector 6,HH,0,28-03-2023,11:44:29
EDSD1004,East Deck Smoke Detector 5,HH,1,28-03-2023,11:44:29
EDSD1007,East Deck Smoke Detector 8,HH,0,28-03-2023,11:44:30
EDSD1006,East Deck Smoke Detector 7,HH,1,28-03-2023,11:44:30
EDSD1008,East Deck Smoke Detector 9,HH,1,28-03-2023,11:44:30
EDFD2000,East Deck Heat Detector 1,HH,1,28-03-2023,11:44:30
EDFD2001,East Deck Heat Detector 2,HH,0,28-03-2023,11:44:31
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,28-03-2023,11:44:31
EDSD1009,East Deck Smoke Detector 10,HH,0,28-03-2023,11:44:30
EDHV3000,East Deck HVAC System 1,HH,1,28-03-2023,11:44:31
EDFD2002,East Deck Heat Detector 3,HH,1,28-03-2023,11:44:31
EDHV3001,East Deck HVAC System 2,HH,0,28-03-2023,11:44:31
LDPT2001,Lower Deck Pressure Transmitetr Valve2,LL,0,28-03-2023,11:44:35
LDTT2001,Lower Deck Temperature Sensor Valve2,LL,1,28-03-2023,11:44:38
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,1,28-03-2023,11:44:39
LDTT2002,Lower Deck Temperature Sensor Valve3,H,1,28-03-2023,11:44:41
LDPT2003,Lower Deck Pressure Transmitter Valve4,H,0,28-03-2023,11:44:43
LDTT2003,Lower Deck Temperature Sensor Valve4,LL,1,28-03-2023,11:44:45
LDPT1000,Lower Deck Pressure Transmitter Vessel1,H,0,28-03-2023,11:44:50
LDLT1000,Lower Deck Level Transmitter Vessel1,H,0,28-03-2023,11:44:51
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,1,28-03-2023,11:44:55
LDPT1001,Lower Deck Pressure Transmitter Vessel2,L,0,28-03-2023,11:44:57
LDLT1001,Lower Deck Level Transmitter Vessel2,L,0,28-03-2023,11:45:00
LDTT1001,Lower Deck Temperature sensor Vessel2,L,1,28-03-2023,11:45:05
LDPT3000,Lower Deck Pressure Transmitter Pump1,LL,0,28-03-2023,11:45:10
LDTT3000,Lower Deck Temperature Sensor Pump1,H,0,28-03-2023,11:45:12
LDPT2000,Lower Deck Pressure Transmitter Valve1,H,1,28-03-2023,13:01:04
EDSD1000,East Deck Smoke Detector 1,HH,0,28-03-2023,13:01:04
EDSD1001,East Deck Smoke Detector 2,HH,0,28-03-2023,13:01:04
EDSD1002,East Deck Smoke Detector 3,HH,1,28-03-2023,13:01:04
EDSD1003,East Deck Smoke Detector 4,HH,1,28-03-2023,13:01:04
EDSD1006,East Deck Smoke Detector 7,HH,1,28-03-2023,13:01:04
EDSD1005,East Deck Smoke Detector 6,HH,0,28-03-2023,13:01:04
EDSD1007,East Deck Smoke Detector 8,HH,1,28-03-2023,13:01:05
EDSD1004,East Deck Smoke Detector 5,HH,0,28-03-2023,13:01:04
EDFD2001,East Deck Heat Detector 2,HH,1,28-03-2023,13:01:05
EDSD1008,East Deck Smoke Detector 9,HH,0,28-03-2023,13:01:05
EDFD2000,East Deck Heat Detector 1,HH,0,28-03-2023,13:01:05
EDSD1009,East Deck Smoke Detector 10,HH,0,28-03-2023,13:01:05
EDFD2002,East Deck Heat Detector 3,HH,0,28-03-2023,13:01:05
EDHV3000,East Deck HVAC System 1,HH,1,28-03-2023,13:01:06
EDHV3001,East Deck HVAC System 2,HH,1,28-03-2023,13:01:06
LDTT2000,Lower Deck Temperature Sensor Valve1,H,0,28-03-2023,13:01:08
LDPT2001,Lower Deck Pressure Transmitetr Valve2,LL,0,28-03-2023,13:01:10
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,1,28-03-2023,13:01:11
LDPT2002,Lower Deck Pressure Transmitter Valve3,L,0,28-03-2023,13:01:14
LDTT2002,Lower Deck Temperature Sensor Valve3,H,1,28-03-2023,13:01:17
LDPT2003,Lower Deck Pressure Transmitter Valve4,H,0,28-03-2023,13:01:18
LDTT2003,Lower Deck Temperature Sensor Valve4,L,0,28-03-2023,13:01:23
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,0,28-03-2023,13:01:24
LDLT1000,Lower Deck Level Transmitter Vessel1,H,1,28-03-2023,13:01:26
LDTT1000,Lower Deck Temperature Sensor Vessel1,H,1,28-03-2023,13:01:31
LDPT1001,Lower Deck Pressure Transmitter Vessel2,LL,0,28-03-2023,13:01:34
LDLT1001,Lower Deck Level Transmitter Vessel2,H,0,28-03-2023,13:01:35
LDTT1001,Lower Deck Temperature sensor Vessel2,L,0,28-03-2023,13:01:36
LDPT3000,Lower Deck Pressure Transmitter Pump1,LL,1,28-03-2023,13:01:37
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,0,28-03-2023,13:01:39
