TagNO,Description,Trip Level,High/Low,Date,Time
LDFD6514,Lower Deck Fire Detector ,HH,0,05-01-2023,09:17:18
LDFD6515,Lower Deck Fire Detector ,HH,1,05-01-2023,09:17:19
EDFD6516,East Deck Fire Detector ,HH,0,05-01-2023,09:17:20
EDFD6517,East Deck Fire Detector ,HH,1,05-01-2023,09:17:21
LDSD6614,Lower Deck Smoke Detector,HH,1,05-01-2023,09:17:22
LDSD6615,Lower Deck Smoke Detector,HH,1,05-01-2023,09:17:23
EDSD6616,East Deck Smoke Detector,HH,1,05-01-2023,09:17:24
EDSD6617,East Deck Smoke Detector,HH,0,05-01-2023,09:17:25
LDHV4561,Lower Deck HVAC A,HH,1,05-01-2023,09:17:26
LDHV4561,Lower Deck HVAC B,HH,0,05-01-2023,09:17:27
LDFD6514,Lower Deck Fire Detector ,HH,0,05-01-2023,09:18:26
LDFD6515,Lower Deck Fire Detector ,HH,0,05-01-2023,09:18:27
EDFD6516,East Deck Fire Detector ,HH,1,05-01-2023,09:18:28
EDFD6517,East Deck Fire Detector ,HH,1,05-01-2023,09:18:29
LDSD6614,Lower Deck Smoke Detector,HH,0,05-01-2023,09:18:30
LDSD6615,Lower Deck Smoke Detector,HH,1,05-01-2023,09:18:31
EDSD6616,East Deck Smoke Detector,HH,1,05-01-2023,09:18:32
EDSD6617,East Deck Smoke Detector,HH,0,05-01-2023,09:18:33
LDFD6514,Lower Deck Fire Detector ,HH,1,05-01-2023,09:19:10
LDFD6515,Lower Deck Fire Detector ,HH,0,05-01-2023,09:19:11
EDFD6516,East Deck Fire Detector ,HH,0,05-01-2023,09:19:12
EDFD6517,East Deck Fire Detector ,HH,1,05-01-2023,09:19:13
LDSD6614,Lower Deck Smoke Detector,HH,0,05-01-2023,09:19:14
LDSD6615,Lower Deck Smoke Detector,HH,0,05-01-2023,09:19:15
EDSD6616,East Deck Smoke Detector,HH,1,05-01-2023,09:19:16
EDSD6617,East Deck Smoke Detector,HH,1,05-01-2023,09:19:17
LDHV4561,Lower Deck HVAC A,HH,0,05-01-2023,09:19:18
EDMO6783,East Deck Motor B Coolant Level,L,1,05-01-2023,09:19:41
EDSD6636,East Deck Smoke Detector,HH,1,05-01-2023,09:19:45
EDHV4565,East Deck HVAC B,H,0,05-01-2023,09:19:46
LDFD6535,Lower Deck Fire Detector ,HH,1,05-01-2023,09:19:51
EDMO6783,East Deck Motor B Coolant Level,HH,0,05-01-2023,09:19:54
EDMO6782,East Deck Motor A Coolant Level,H,0,05-01-2023,09:19:59
EDHV4565,East Deck HVAC B,H,1,05-01-2023,09:20:00
LDFD6514,Lower Deck Fire Detector ,HH,1,05-01-2023,09:26:58
LDFD6515,Lower Deck Fire Detector ,HH,1,05-01-2023,09:26:59
EDFD6516,East Deck Fire Detector ,HH,0,05-01-2023,09:27:00
EDFD6517,East Deck Fire Detector ,HH,1,05-01-2023,09:27:01
LDSD6614,Lower Deck Smoke Detector,HH,1,05-01-2023,09:27:02
LDSD6615,Lower Deck Smoke Detector,HH,1,05-01-2023,09:27:03
EDSD6616,East Deck Smoke Detector,HH,1,05-01-2023,09:27:04
EDSD6617,East Deck Smoke Detector,HH,1,05-01-2023,09:27:05
LDHV4561,Lower Deck HVAC A,HH,0,05-01-2023,09:27:06
LDHV4561,Lower Deck HVAC B,HH,1,05-01-2023,09:27:07
LDFD6514,Lower Deck Fire Detector ,HH,1,05-01-2023,09:27:44
LDFD6515,Lower Deck Fire Detector ,HH,1,05-01-2023,09:27:45
EDFD6516,East Deck Fire Detector ,HH,0,05-01-2023,09:27:46
EDFD6517,East Deck Fire Detector ,HH,1,05-01-2023,09:27:47
LDSD6614,Lower Deck Smoke Detector,HH,0,05-01-2023,09:27:48
LDSD6615,Lower Deck Smoke Detector,HH,0,05-01-2023,09:27:49
EDSD6616,East Deck Smoke Detector,HH,1,05-01-2023,09:27:50
EDSD6617,East Deck Smoke Detector,HH,0,05-01-2023,09:27:51
LDHV4561,Lower Deck HVAC A,HH,0,05-01-2023,09:27:52
LDHV4561,Lower Deck HVAC B,HH,0,05-01-2023,09:27:53
EDHV4564,East Deck HVAC A,HH,1,05-01-2023,09:27:54
EDHV4565,East Deck HVAC B,HH,1,05-01-2023,09:27:55
EDMO6781,East Deck Motor A Coolant Level,HH,1,05-01-2023,09:27:56
EDMO6781,East Deck Motor B Coolant Level,HH,1,05-01-2023,09:27:57
LDFD6514,Lower Deck Fire Detector ,HH,0,05-01-2023,09:27:58
LDFD6515,Lower Deck Fire Detector ,HH,1,05-01-2023,09:27:59
EDFD6516,East Deck Fire Detector ,HH,1,05-01-2023,09:28:00
LDFD6514,Lower Deck Fire Detector ,HH,1,05-01-2023,09:29:41
LDFD6515,Lower Deck Fire Detector ,HH,0,05-01-2023,09:29:42
EDFD6516,East Deck Fire Detector ,HH,1,05-01-2023,09:29:43
EDFD6517,East Deck Fire Detector ,HH,1,05-01-2023,09:29:44
LDSD6614,Lower Deck Smoke Detector,HH,0,05-01-2023,09:29:45
LDSD6615,Lower Deck Smoke Detector,HH,0,05-01-2023,09:29:46
EDSD6616,East Deck Smoke Detector,HH,0,05-01-2023,09:29:47
EDSD6617,East Deck Smoke Detector,HH,1,05-01-2023,09:29:48
LDHV4561,Lower Deck HVAC A,HH,1,05-01-2023,09:29:49
LDHV4561,Lower Deck HVAC B,HH,0,05-01-2023,09:29:50
EDHV4564,East Deck HVAC A,HH,0,05-01-2023,09:29:51
EDHV4565,East Deck HVAC B,HH,0,05-01-2023,09:29:52
EDMO6781,East Deck Motor A Coolant Level,HH,1,05-01-2023,09:29:53
EDMO6783,East Deck Motor B Coolant Level,HH,1,05-01-2023,09:30:42
EDMO6783,East Deck Motor B Coolant Level,L,1,05-01-2023,09:30:46
EDSD6637,East Deck Smoke Detector,HH,1,05-01-2023,09:30:51
EDMO6782,East Deck Motor A Coolant Level,L,0,05-01-2023,09:30:53
EDFD6536,East Deck Fire Detector ,HH,0,05-01-2023,09:30:56
EDMO6782,East Deck Motor A Coolant Level,L,1,05-01-2023,09:30:58
EDMO6783,East Deck Motor B Coolant Level,H,1,05-01-2023,09:31:02
EDMO6783,East Deck Motor B Coolant Level,HH,0,05-01-2023,09:31:05
EDMO6783,East Deck Motor B Coolant Level,H,0,05-01-2023,09:31:08
EDFD6537,East Deck Fire Detector ,HH,0,05-01-2023,09:31:13
EDMO6782,East Deck Motor A Coolant Level,LL,0,05-01-2023,09:31:47
EDHV4564,East Deck HVAC A,H,1,05-01-2023,09:31:51
EDSD6637,East Deck Smoke Detector,HH,0,05-01-2023,09:31:53
EDMO6783,East Deck Motor B Coolant Level,H,0,05-01-2023,09:31:54
LDSD6635,Lower Deck Smoke Detector,HH,1,05-01-2023,09:31:56
EDHV4564,East Deck HVAC A,H,0,05-01-2023,09:32:01
