TagNO,Description,Trip Level,High/Low,Date,Time
EDFD6536,East Deck Fire Detector ,HH,0,22-01-2023,12:09:11
EDMO6783,East Deck Motor B Coolant Level,H,1,22-01-2023,12:09:15
LDFD6535,Lower Deck Fire Detector ,HH,1,22-01-2023,12:09:16
EDSD6636,East Deck Smoke Detector,HH,1,22-01-2023,12:09:19
EDMO6783,East Deck Motor B Coolant Level,L,0,22-01-2023,12:09:20
EDMO6783,East Deck Motor B Coolant Level,H,0,22-01-2023,12:09:24
EDFD6537,East Deck Fire Detector ,HH,1,22-01-2023,12:09:25
LDHV4563,Lower Deck HVAC B,H,1,22-01-2023,12:09:30
LDSD6634,Lower Deck Smoke Detector,HH,1,22-01-2023,12:09:35
LDFD6535,Lower Deck Fire Detector ,HH,1,22-01-2023,12:09:37
LDHV4563,Lower Deck HVAC B,H,1,22-01-2023,12:09:38
EDFD6536,East Deck Fire Detector ,HH,0,22-01-2023,12:09:40
EDSD6636,East Deck Smoke Detector,HH,1,22-01-2023,12:09:41
EDMO6782,East Deck Motor A Coolant Level,H,1,22-01-2023,12:09:46
LDHV4563,Lower Deck HVAC B,H,1,22-01-2023,12:09:48
LDSD6634,Lower Deck Smoke Detector,HH,1,22-01-2023,12:09:50
EDSD6636,East Deck Smoke Detector,HH,0,22-01-2023,12:09:51
EDSD6637,East Deck Smoke Detector,HH,1,22-01-2023,12:09:56
LDSD6634,Lower Deck Smoke Detector,HH,0,22-01-2023,12:09:59
EDMO6782,East Deck Motor A Coolant Level,HH,0,22-01-2023,12:10:04
EDSD6637,East Deck Smoke Detector,HH,0,22-01-2023,12:10:06
EDMO6782,East Deck Motor A Coolant Level,LL,1,22-01-2023,12:10:08
EDHV4564,East Deck HVAC A,H,1,22-01-2023,12:10:09
EDMO6783,East Deck Motor B Coolant Level,H,0,22-01-2023,12:10:11
LDHV4562,Lower Deck HVAC A,H,0,22-01-2023,12:18:29
EDFD6537,East Deck Fire Detector ,HH,1,22-01-2023,12:18:31
LDSD6634,Lower Deck Smoke Detector,HH,0,22-01-2023,12:18:36
EDFD6537,East Deck Fire Detector ,HH,0,22-01-2023,12:18:38
LDSD6635,Lower Deck Smoke Detector,HH,1,22-01-2023,12:18:42
EDHV4564,East Deck HVAC A,H,0,22-01-2023,12:18:44
LDSD6634,Lower Deck Smoke Detector,HH,1,22-01-2023,12:18:48
EDMO6782,East Deck Motor A Coolant Level,LL,1,22-01-2023,12:18:50
EDHV4565,East Deck HVAC B,H,1,22-01-2023,12:18:53
EDSD6636,East Deck Smoke Detector,HH,1,22-01-2023,12:18:54
EDSD6636,East Deck Smoke Detector,HH,1,22-01-2023,12:18:57
EDSD6636,East Deck Smoke Detector,HH,1,22-01-2023,12:19:02
LDFD6535,Lower Deck Fire Detector ,HH,0,22-01-2023,12:19:04
EDFD6536,East Deck Fire Detector ,HH,0,22-01-2023,12:21:39
LDSD6635,Lower Deck Smoke Detector,HH,0,22-01-2023,12:21:40
LDFD6535,Lower Deck Fire Detector ,HH,1,22-01-2023,12:21:44
LDHV4563,Lower Deck HVAC B,H,0,22-01-2023,12:21:47
EDMO6782,East Deck Motor A Coolant Level,L,1,22-01-2023,12:21:51
EDSD6636,East Deck Smoke Detector,HH,0,22-01-2023,12:21:55
EDFD6536,East Deck Fire Detector ,HH,1,22-01-2023,12:21:57
EDFD6536,East Deck Fire Detector ,HH,1,22-01-2023,12:27:49
EDMO6783,East Deck Motor B Coolant Level,H,1,22-01-2023,12:27:51
EDMO6782,East Deck Motor A Coolant Level,LL,0,22-01-2023,12:27:54
LDFD6535,Lower Deck Fire Detector ,HH,1,22-01-2023,12:27:56
EDMO6782,East Deck Motor A Coolant Level,H,0,22-01-2023,12:27:58
EDMO6782,East Deck Motor A Coolant Level,HH,1,22-01-2023,12:28:02
EDMO6782,East Deck Motor A Coolant Level,L,0,22-01-2023,12:28:06
LDSD6634,Lower Deck Smoke Detector,HH,0,22-01-2023,12:28:10
EDFD6537,East Deck Fire Detector ,HH,0,22-01-2023,12:28:11
LDHV4562,Lower Deck HVAC A,H,0,22-01-2023,12:28:16
EDMO6783,East Deck Motor B Coolant Level,LL,0,22-01-2023,12:28:19
EDMO6783,East Deck Motor B Coolant Level,L,0,22-01-2023,12:28:21
EDFD6536,East Deck Fire Detector ,HH,1,22-01-2023,12:28:26
EDMO6782,East Deck Motor A Coolant Level,H,1,22-01-2023,13:40:27
EDMO6782,East Deck Motor A Coolant Level,HH,0,22-01-2023,13:41:29
LDSD6634,Lower Deck Smoke Detector,HH,0,22-01-2023,13:41:34
EDFD6537,East Deck Fire Detector ,HH,1,22-01-2023,13:41:35
LDSD6635,Lower Deck Smoke Detector,HH,1,22-01-2023,13:41:39
EDMO6783,East Deck Motor B Coolant Level,H,0,22-01-2023,13:41:42
EDMO6783,East Deck Motor B Coolant Level,LL,0,22-01-2023,13:41:43
LDHV4562,Lower Deck HVAC A,H,0,22-01-2023,13:41:48
EDMO6782,East Deck Motor A Coolant Level,LL,0,22-01-2023,13:41:52
LDSD6634,Lower Deck Smoke Detector,HH,1,22-01-2023,13:41:53
EDSD6636,East Deck Smoke Detector,HH,0,22-01-2023,13:41:55
EDHV4564,East Deck HVAC A,H,1,22-01-2023,13:56:44
EDHV4565,East Deck HVAC B,H,0,22-01-2023,13:56:47
EDMO6783,East Deck Motor B Coolant Level,LL,1,22-01-2023,13:56:51
EDHV4564,East Deck HVAC A,H,0,22-01-2023,13:56:55
EDMO6783,East Deck Motor B Coolant Level,HH,1,22-01-2023,13:56:56
LDHV4562,Lower Deck HVAC A,H,0,22-01-2023,13:56:59
EDSD6636,East Deck Smoke Detector,HH,1,22-01-2023,13:57:04
EDMO6783,East Deck Motor B Coolant Level,HH,1,22-01-2023,13:57:05
LDHV4563,Lower Deck HVAC B,H,1,22-01-2023,13:57:08
EDMO6782,East Deck Motor A Coolant Level,H,0,22-01-2023,13:57:12
EDMO6782,East Deck Motor A Coolant Level,H,1,22-01-2023,13:57:17
EDSD6636,East Deck Smoke Detector,HH,0,22-01-2023,13:57:21
EDFD6536,East Deck Fire Detector ,HH,1,22-01-2023,13:57:22
EDFD6537,East Deck Fire Detector ,HH,0,22-01-2023,13:57:23
EDHV4565,East Deck HVAC B,H,0,22-01-2023,13:57:25
EDMO6782,East Deck Motor A Coolant Level,LL,1,22-01-2023,13:57:26
EDMO6782,East Deck Motor A Coolant Level,H,0,22-01-2023,13:57:27
EDMO6782,East Deck Motor A Coolant Level,LL,1,22-01-2023,13:57:29
EDMO6783,East Deck Motor B Coolant Level,HH,0,22-01-2023,13:57:30
EDMO6782,East Deck Motor A Coolant Level,LL,1,22-01-2023,13:57:33
EDMO6782,East Deck Motor A Coolant Level,LL,0,22-01-2023,14:12:21
EDMO6783,East Deck Motor B Coolant Level,HH,0,22-01-2023,14:12:22
EDMO6782,East Deck Motor A Coolant Level,HH,1,22-01-2023,14:12:24
EDMO6782,East Deck Motor A Coolant Level,LL,0,22-01-2023,14:12:27
EDMO6782,East Deck Motor A Coolant Level,L,1,22-01-2023,14:12:31
EDHV4565,East Deck HVAC B,H,1,22-01-2023,14:12:36
EDMO6782,East Deck Motor A Coolant Level,LL,0,22-01-2023,14:12:37
EDMO6782,East Deck Motor A Coolant Level,HH,1,22-01-2023,14:12:42
EDMO6783,East Deck Motor B Coolant Level,LL,0,22-01-2023,14:12:46
EDFD6537,East Deck Fire Detector ,HH,1,22-01-2023,14:12:49
LDHV4562,Lower Deck HVAC A,H,0,22-01-2023,14:12:51
LDSD6634,Lower Deck Smoke Detector,HH,0,22-01-2023,14:12:54
LDHV4563,Lower Deck HVAC B,H,1,22-01-2023,14:12:59
LDHV4563,Lower Deck HVAC B,H,1,22-01-2023,14:13:04
